Обработано 100 файлов. Результаты сохранены в result.txt 
  Обработка была произведена 2026-03-22 11:07:38.050545 
Имя файла - 3100.png, Высота - 437, Ширина - 437, Размер файла - 615904 байт 
Имя файла - 3101.png, Высота - 437, Ширина - 437, Размер файла - 632536 байт 
Имя файла - 3102.png, Высота - 437, Ширина - 437, Размер файла - 716140 байт 
Имя файла - 3103.png, Высота - 437, Ширина - 437, Размер файла - 687572 байт 
Имя файла - 3104.png, Высота - 307, Ширина - 219, Размер файла - 247724 байт 
Имя файла - 3105.png, Высота - 875, Ширина - 1182, Размер файла - 2732798 байт 
Имя файла - 3106.png, Высота - 875, Ширина - 1182, Размер файла - 2541017 байт 
Имя файла - 3107.png, Высота - 875, Ширина - 1182, Размер файла - 2655279 байт 
Имя файла - 3108.png, Высота - 439, Ширина - 437, Размер файла - 682754 байт 
Имя файла - 3109.png, Высота - 875, Ширина - 875, Размер файла - 2419152 байт 
Имя файла - 3110.png, Высота - 330, Ширина - 473, Размер файла - 573372 байт 
Имя файла - 3111.png, Высота - 591, Ширина - 437, Размер файла - 739003 байт 
Имя файла - 3112.png, Высота - 591, Ширина - 437, Размер файла - 765092 байт 
Имя файла - 3113.png, Высота - 384, Ширина - 768, Размер файла - 1069383 байт 
Имя файла - 3114.png, Высота - 1536, Ширина - 769, Размер файла - 1922250 байт 
Имя файла - 3115.png, Высота - 666, Ширина - 945, Размер файла - 951840 байт 
Имя файла - 3116.png, Высота - 667, Ширина - 948, Размер файла - 1015975 байт 
Имя файла - 3117.png, Высота - 664, Ширина - 947, Размер файла - 840032 байт 
Имя файла - 3118.png, Высота - 667, Ширина - 948, Размер файла - 858406 байт 
Имя файла - 3119.png, Высота - 360, Ширина - 498, Размер файла - 675748 байт 
Имя файла - 3120.png, Высота - 875, Ширина - 1184, Размер файла - 1201572 байт 
Имя файла - 3121.png, Высота - 357, Ширина - 497, Размер файла - 308685 байт 
Имя файла - 3122.png, Высота - 709, Ширина - 993, Размер файла - 2418422 байт 
Имя файла - 3123.png, Высота - 709, Ширина - 993, Размер файла - 2489344 байт 
Имя файла - 3124.png, Высота - 767, Ширина - 383, Размер файла - 778101 байт 
Имя файла - 3125.png, Высота - 591, Ширина - 437, Размер файла - 832043 байт 
Имя файла - 3126.png, Высота - 591, Ширина - 437, Размер файла - 872070 байт 
Имя файла - 3127.png, Высота - 591, Ширина - 437, Размер файла - 1090188 байт 
Имя файла - 3128.png, Высота - 368, Ширина - 503, Размер файла - 968870 байт 
Имя файла - 3129.png, Высота - 1180, Ширина - 1181, Размер файла - 2924503 байт 
Имя файла - 3130.png, Высота - 875, Ширина - 875, Размер файла - 1733387 байт 
Имя файла - 3131.png, Высота - 491, Ширина - 879, Размер файла - 554019 байт 
Имя файла - 3132.png, Высота - 331, Ширина - 473, Размер файла - 492493 байт 
Имя файла - 3133.png, Высота - 331, Ширина - 473, Размер файла - 464236 байт 
Имя файла - 3134.png, Высота - 331, Ширина - 473, Размер файла - 483170 байт 
Имя файла - 3135.png, Высота - 497, Ширина - 354, Размер файла - 633839 байт 
Имя файла - 3136.png, Высота - 386, Ширина - 769, Размер файла - 668401 байт 
Имя файла - 3137.png, Высота - 437, Ширина - 437, Размер файла - 471384 байт 
Имя файла - 3138.png, Высота - 874, Ширина - 1182, Размер файла - 2676286 байт 
Имя файла - 3139.png, Высота - 875, Ширина - 875, Размер файла - 2428680 байт 
Имя файла - 3140.png, Высота - 710, Ширина - 993, Размер файла - 2212420 байт 
Имя файла - 3141.png, Высота - 361, Ширина - 497, Размер файла - 321984 байт 
Имя файла - 3142.png, Высота - 358, Ширина - 494, Размер файла - 319429 байт 
Имя файла - 3143.png, Высота - 358, Ширина - 495, Размер файла - 324124 байт 
Имя файла - 3144.png, Высота - 358, Ширина - 500, Размер файла - 324545 байт 
Имя файла - 3145.png, Высота - 358, Ширина - 494, Размер файла - 331346 байт 
Имя файла - 3146.png, Высота - 662, Ширина - 945, Размер файла - 1935970 байт 
Имя файла - 3147.png, Высота - 437, Ширина - 591, Размер файла - 1026706 байт 
Имя файла - 3148.png, Высота - 710, Ширина - 993, Размер файла - 1877816 байт 
Имя файла - 3149.png, Высота - 710, Ширина - 993, Размер файла - 2239630 байт 
Имя файла - 3150.png, Высота - 710, Ширина - 993, Размер файла - 2023645 байт 
Имя файла - 3151.png, Высота - 710, Ширина - 993, Размер файла - 1798091 байт 
Имя файла - 3152.png, Высота - 710, Ширина - 993, Размер файла - 2148946 байт 
Имя файла - 3153.png, Высота - 710, Ширина - 993, Размер файла - 2398675 байт 
Имя файла - 3154.png, Высота - 710, Ширина - 993, Размер файла - 2267181 байт 
Имя файла - 3155.png, Высота - 710, Ширина - 993, Размер файла - 2421089 байт 
Имя файла - 3156.png, Высота - 437, Ширина - 438, Размер файла - 688448 байт 
Имя файла - 3157.png, Высота - 439, Ширина - 438, Размер файла - 481534 байт 
Имя файла - 3158.png, Высота - 480, Ширина - 480, Размер файла - 542424 байт 
Имя файла - 3159.png, Высота - 480, Ширина - 479, Размер файла - 523704 байт 
Имя файла - 3160.png, Высота - 482, Ширина - 479, Размер файла - 614265 байт 
Имя файла - 3161.png, Высота - 480, Ширина - 480, Размер файла - 598787 байт 
Имя файла - 3162.png, Высота - 355, Ширина - 497, Размер файла - 611258 байт 
