Обработано 100 файлов. Результаты сохранены в result.txt 
  Обработка была произведена 2026-02-28 13:54:30.094839 
Имя файла - 2000.png, Высота - 184, Ширина - 136, Размер файла - 59694 байт 
Имя файла - 2001.png, Высота - 259, Ширина - 350, Размер файла - 163883 байт 
Имя файла - 2002.png, Высота - 349, Ширина - 350, Размер файла - 181263 байт 
Имя файла - 2003.png, Высота - 350, Ширина - 350, Размер файла - 198209 байт 
Имя файла - 2004.png, Высота - 350, Ширина - 350, Размер файла - 232898 байт 
Имя файла - 2005.png, Высота - 349, Ширина - 350, Размер файла - 225456 байт 
Имя файла - 2006.png, Высота - 199, Ширина - 400, Размер файла - 212192 байт 
Имя файла - 2007.png, Высота - 350, Ширина - 350, Размер файла - 203095 байт 
Имя файла - 2008.png, Высота - 350, Ширина - 350, Размер файла - 217732 байт 
Имя файла - 2009.png, Высота - 350, Ширина - 350, Размер файла - 219621 байт 
Имя файла - 2010.png, Высота - 350, Ширина - 350, Размер файла - 204069 байт 
Имя файла - 2011.png, Высота - 350, Ширина - 350, Размер файла - 209124 байт 
Имя файла - 2012.png, Высота - 350, Ширина - 350, Размер файла - 222034 байт 
Имя файла - 2013.png, Высота - 350, Ширина - 350, Размер файла - 213767 байт 
Имя файла - 2014.png, Высота - 285, Ширина - 400, Размер файла - 221143 байт 
Имя файла - 2015.png, Высота - 186, Ширина - 251, Размер файла - 115680 байт 
Имя файла - 2016.png, Высота - 289, Ширина - 400, Размер файла - 211267 байт 
Имя файла - 2017.png, Высота - 350, Ширина - 350, Размер файла - 232238 байт 
Имя файла - 2018.png, Высота - 350, Ширина - 350, Размер файла - 251488 байт 
Имя файла - 2019.png, Высота - 143, Ширина - 193, Размер файла - 60150 байт 
Имя файла - 2020.png, Высота - 327, Ширина - 400, Размер файла - 188438 байт 
Имя файла - 2021.png, Высота - 400, Ширина - 286, Размер файла - 218019 байт 
Имя файла - 2022.png, Высота - 400, Ширина - 297, Размер файла - 253240 байт 
Имя файла - 2023.png, Высота - 181, Ширина - 132, Размер файла - 52099 байт 
Имя файла - 2024.png, Высота - 285, Ширина - 400, Размер файла - 236308 байт 
Имя файла - 2025.png, Высота - 288, Ширина - 400, Размер файла - 245084 байт 
Имя файла - 2026.png, Высота - 289, Ширина - 400, Размер файла - 242024 байт 
Имя файла - 2027.png, Высота - 285, Ширина - 400, Размер файла - 230908 байт 
Имя файла - 2028.png, Высота - 290, Ширина - 400, Размер файла - 238623 байт 
Имя файла - 2029.png, Высота - 292, Ширина - 400, Размер файла - 241907 байт 
Имя файла - 2030.png, Высота - 297, Ширина - 300, Размер файла - 206370 байт 
Имя файла - 2031.png, Высота - 298, Ширина - 300, Размер файла - 187581 байт 
Имя файла - 2032.png, Высота - 197, Ширина - 400, Размер файла - 185341 байт 
Имя файла - 2033.png, Высота - 202, Ширина - 400, Размер файла - 188679 байт 
Имя файла - 2034.png, Высота - 197, Ширина - 400, Размер файла - 191777 байт 
Имя файла - 2035.png, Высота - 201, Ширина - 400, Размер файла - 187131 байт 
Имя файла - 2036.png, Высота - 350, Ширина - 351, Размер файла - 290697 байт 
Имя файла - 2037.png, Высота - 256, Ширина - 350, Размер файла - 223257 байт 
Имя файла - 2038.png, Высота - 350, Ширина - 350, Размер файла - 258529 байт 
Имя файла - 2039.png, Высота - 350, Ширина - 350, Размер файла - 266646 байт 
Имя файла - 2040.png, Высота - 348, Ширина - 350, Размер файла - 262759 байт 
Имя файла - 2041.png, Высота - 348, Ширина - 350, Размер файла - 261038 байт 
Имя файла - 2042.png, Высота - 174, Ширина - 250, Размер файла - 89680 байт 
Имя файла - 2043.png, Высота - 180, Ширина - 250, Размер файла - 90590 байт 
Имя файла - 2044.png, Высота - 180, Ширина - 250, Размер файла - 93174 байт 
Имя файла - 2045.png, Высота - 182, Ширина - 250, Размер файла - 94699 байт 
Имя файла - 2046.png, Высота - 181, Ширина - 250, Размер файла - 94888 байт 
Имя файла - 2047.png, Высота - 180, Ширина - 250, Размер файла - 93619 байт 
Имя файла - 2048.png, Высота - 181, Ширина - 250, Размер файла - 91873 байт 
Имя файла - 2049.png, Высота - 198, Ширина - 400, Размер файла - 185147 байт 
Имя файла - 2050.png, Высота - 400, Ширина - 298, Размер файла - 288753 байт 
Имя файла - 2051.png, Высота - 175, Ширина - 209, Размер файла - 83500 байт 
Имя файла - 2052.png, Высота - 173, Ширина - 237, Размер файла - 127478 байт 
