Обработано 100 файлов. Результаты сохранены в result.txt 
  Обработка была произведена 2026-02-24 20:59:36.547964 
Имя файла - 1800.png, Высота - 173, Ширина - 234, Размер файла - 90443 байт 
Имя файла - 1801.png, Высота - 210, Ширина - 297, Размер файла - 116917 байт 
Имя файла - 1802.png, Высота - 213, Ширина - 297, Размер файла - 117439 байт 
Имя файла - 1803.png, Высота - 213, Ширина - 300, Размер файла - 103728 байт 
Имя файла - 1804.png, Высота - 209, Ширина - 295, Размер файла - 117995 байт 
Имя файла - 1805.png, Высота - 217, Ширина - 300, Размер файла - 105245 байт 
Имя файла - 1806.png, Высота - 98, Ширина - 139, Размер файла - 44526 байт 
Имя файла - 1807.png, Высота - 97, Ширина - 138, Размер файла - 40261 байт 
Имя файла - 1808.png, Высота - 137, Ширина - 98, Размер файла - 43885 байт 
Имя файла - 1809.png, Высота - 147, Ширина - 176, Размер файла - 55086 байт 
Имя файла - 1810.png, Высота - 301, Ширина - 300, Размер файла - 198321 байт 
Имя файла - 1811.png, Высота - 301, Ширина - 300, Размер файла - 196906 байт 
Имя файла - 1812.png, Высота - 301, Ширина - 300, Размер файла - 216534 байт 
Имя файла - 1813.png, Высота - 301, Ширина - 300, Размер файла - 217875 байт 
Имя файла - 1814.png, Высота - 284, Ширина - 400, Размер файла - 169430 байт 
Имя файла - 1815.png, Высота - 88, Ширина - 197, Размер файла - 37254 байт 
Имя файла - 1816.png, Высота - 174, Ширина - 350, Размер файла - 101702 байт 
Имя файла - 1817.png, Высота - 175, Ширина - 350, Размер файла - 107559 байт 
Имя файла - 1818.png, Высота - 174, Ширина - 350, Размер файла - 103568 байт 
Имя файла - 1819.png, Высота - 175, Ширина - 350, Размер файла - 106182 байт 
Имя файла - 1820.png, Высота - 96, Ширина - 192, Размер файла - 33288 байт 
Имя файла - 1821.png, Высота - 96, Ширина - 195, Размер файла - 33458 байт 
Имя файла - 1822.png, Высота - 99, Ширина - 194, Размер файла - 35358 байт 
Имя файла - 1823.png, Высота - 98, Ширина - 195, Размер файла - 35571 байт 
Имя файла - 1824.png, Высота - 300, Ширина - 222, Размер файла - 125714 байт 
Имя файла - 1825.png, Высота - 300, Ширина - 300, Размер файла - 165054 байт 
Имя файла - 1826.png, Высота - 301, Ширина - 300, Размер файла - 154741 байт 
Имя файла - 1827.png, Высота - 217, Ширина - 300, Размер файла - 96379 байт 
Имя файла - 1828.png, Высота - 210, Ширина - 300, Размер файла - 113221 байт 
Имя файла - 1829.png, Высота - 300, Ширина - 210, Размер файла - 111757 байт 
Имя файла - 1830.png, Высота - 300, Ширина - 300, Размер файла - 99877 байт 
Имя файла - 1831.png, Высота - 275, Ширина - 400, Размер файла - 190181 байт 
Имя файла - 1832.png, Высота - 120, Ширина - 243, Размер файла - 64527 байт 
Имя файла - 1833.png, Высота - 299, Ширина - 300, Размер файла - 124530 байт 
Имя файла - 1834.png, Высота - 300, Ширина - 300, Размер файла - 113588 байт 
Имя файла - 1835.png, Высота - 214, Ширина - 300, Размер файла - 81558 байт 
Имя файла - 1836.png, Высота - 307, Ширина - 219, Размер файла - 90424 байт 
Имя файла - 1837.png, Высота - 400, Ширина - 202, Размер файла - 119970 байт 
Имя файла - 1838.png, Высота - 350, Ширина - 179, Размер файла - 117980 байт 
Имя файла - 1839.png, Высота - 350, Ширина - 179, Размер файла - 118401 байт 
Имя файла - 1840.png, Высота - 350, Ширина - 178, Размер файла - 117770 байт 
Имя файла - 1841.png, Высота - 350, Ширина - 179, Размер файла - 116389 байт 
Имя файла - 1842.png, Высота - 213, Ширина - 300, Размер файла - 100619 байт 
Имя файла - 1843.png, Высота - 163, Ширина - 222, Размер файла - 76243 байт 
Имя файла - 1844.png, Высота - 153, Ширина - 302, Размер файла - 106490 байт 
Имя файла - 1845.png, Высота - 300, Ширина - 214, Размер файла - 108930 байт 
Имя файла - 1846.png, Высота - 151, Ширина - 300, Размер файла - 88011 байт 
Имя файла - 1847.png, Высота - 151, Ширина - 300, Размер файла - 85514 байт 
Имя файла - 1848.png, Высота - 150, Ширина - 300, Размер файла - 86478 байт 
Имя файла - 1849.png, Высота - 150, Ширина - 300, Размер файла - 87752 байт 
Имя файла - 1850.png, Высота - 400, Ширина - 200, Размер файла - 181002 байт 
Имя файла - 1851.png, Высота - 300, Ширина - 150, Размер файла - 90302 байт 
Имя файла - 1852.png, Высота - 300, Ширина - 150, Размер файла - 89814 байт 
Имя файла - 1853.png, Высота - 300, Ширина - 150, Размер файла - 95630 байт 
Имя файла - 1854.png, Высота - 222, Ширина - 300, Размер файла - 88024 байт 
Имя файла - 1855.png, Высота - 222, Ширина - 300, Размер файла - 90439 байт 
Имя файла - 1856.png, Высота - 222, Ширина - 300, Размер файла - 113130 байт 
Имя файла - 1857.png, Высота - 222, Ширина - 300, Размер файла - 110756 байт 
Имя файла - 1858.png, Высота - 222, Ширина - 300, Размер файла - 119264 байт 
Имя файла - 1859.png, Высота - 221, Ширина - 300, Размер файла - 122011 байт 
Имя файла - 1860.png, Высота - 215, Ширина - 300, Размер файла - 107371 байт 
Имя файла - 1861.png, Высота - 301, Ширина - 300, Размер файла - 142990 байт 
