Обработано 100 файлов. Результаты сохранены в result.txt 
  Обработка была произведена 2026-03-17 21:51:26.784238 
Имя файла - 2800.png, Высота - 355, Ширина - 497, Размер файла - 317491 байт 
Имя файла - 2801.png, Высота - 297, Ширина - 400, Размер файла - 234343 байт 
Имя файла - 2802.png, Высота - 200, Ширина - 400, Размер файла - 152516 байт 
Имя файла - 2803.png, Высота - 122, Ширина - 122, Размер файла - 33737 байт 
Имя файла - 2804.png, Высота - 401, Ширина - 400, Размер файла - 135028 байт 
Имя файла - 2805.png, Высота - 400, Ширина - 400, Размер файла - 285625 байт 
Имя файла - 2806.png, Высота - 437, Ширина - 592, Размер файла - 293747 байт 
Имя файла - 2807.png, Высота - 437, Ширина - 592, Размер файла - 318834 байт 
Имя файла - 2808.png, Высота - 437, Ширина - 592, Размер файла - 314849 байт 
Имя файла - 2809.png, Высота - 435, Ширина - 592, Размер файла - 300590 байт 
Имя файла - 2810.png, Высота - 400, Ширина - 400, Размер файла - 265087 байт 
Имя файла - 2811.png, Высота - 400, Ширина - 400, Размер файла - 242837 байт 
Имя файла - 2812.png, Высота - 400, Ширина - 400, Размер файла - 249777 байт 
Имя файла - 2813.png, Высота - 400, Ширина - 400, Размер файла - 235233 байт 
Имя файла - 2814.png, Высота - 400, Ширина - 400, Размер файла - 227577 байт 
Имя файла - 2815.png, Высота - 340, Ширина - 171, Размер файла - 141049 байт 
Имя файла - 2816.png, Высота - 400, Ширина - 400, Размер файла - 363939 байт 
Имя файла - 2817.png, Высота - 437, Ширина - 591, Размер файла - 431035 байт 
Имя файла - 2818.png, Высота - 437, Ширина - 591, Размер файла - 460133 байт 
Имя файла - 2819.png, Высота - 439, Ширина - 591, Размер файла - 422715 байт 
Имя файла - 2820.png, Высота - 439, Ширина - 591, Размер файла - 416952 байт 
Имя файла - 2821.png, Высота - 591, Ширина - 437, Размер файла - 347350 байт 
Имя файла - 2822.png, Высота - 591, Ширина - 437, Размер файла - 404305 байт 
Имя файла - 2823.png, Высота - 591, Ширина - 437, Размер файла - 421055 байт 
Имя файла - 2824.png, Высота - 591, Ширина - 437, Размер файла - 368025 байт 
Имя файла - 2825.png, Высота - 354, Ширина - 497, Размер файла - 258350 байт 
Имя файла - 2826.png, Высота - 876, Ширина - 1184, Размер файла - 1315723 байт 
Имя файла - 2827.png, Высота - 250, Ширина - 500, Размер файла - 164761 байт 
Имя файла - 2828.png, Высота - 439, Ширина - 591, Размер файла - 313108 байт 
Имя файла - 2829.png, Высота - 520, Ширина - 520, Размер файла - 350779 байт 
Имя файла - 2830.png, Высота - 380, Ширина - 760, Размер файла - 431778 байт 
Имя файла - 2831.png, Высота - 353, Ширина - 496, Размер файла - 188564 байт 
Имя файла - 2832.png, Высота - 353, Ширина - 496, Размер файла - 167446 байт 
Имя файла - 2833.png, Высота - 437, Ширина - 591, Размер файла - 486884 байт 
Имя файла - 2834.png, Высота - 355, Ширина - 497, Размер файла - 309892 байт 
Имя файла - 2835.png, Высота - 437, Ширина - 437, Размер файла - 286867 байт 
Имя файла - 2836.png, Высота - 437, Ширина - 437, Размер файла - 338931 байт 
Имя файла - 2837.png, Высота - 270, Ширина - 364, Размер файла - 275523 байт 
Имя файла - 2838.png, Высота - 437, Ширина - 591, Размер файла - 430437 байт 
Имя файла - 2839.png, Высота - 591, Ширина - 437, Размер файла - 544572 байт 
Имя файла - 2840.png, Высота - 437, Ширина - 437, Размер файла - 285511 байт 
Имя файла - 2841.png, Высота - 874, Ширина - 1182, Размер файла - 1080187 байт 
Имя файла - 2842.png, Высота - 874, Ширина - 1189, Размер файла - 1022024 байт 
Имя файла - 2843.png, Высота - 360, Ширина - 501, Размер файла - 390818 байт 
Имя файла - 2844.png, Высота - 357, Ширина - 499, Размер файла - 409481 байт 
Имя файла - 2845.png, Высота - 591, Ширина - 437, Размер файла - 419976 байт 
Имя файла - 2846.png, Высота - 591, Ширина - 437, Размер файла - 446175 байт 
Имя файла - 2847.png, Высота - 437, Ширина - 437, Размер файла - 283078 байт 
Имя файла - 2848.png, Высота - 437, Ширина - 437, Размер файла - 286118 байт 
Имя файла - 2849.png, Высота - 873, Ширина - 874, Размер файла - 608336 байт 
Имя файла - 2850.png, Высота - 237, Ширина - 238, Размер файла - 92924 байт 
Имя файла - 2851.png, Высота - 384, Ширина - 768, Размер файла - 448619 байт 
Имя файла - 2852.png, Высота - 330, Ширина - 328, Размер файла - 270492 байт 
Имя файла - 2853.png, Высота - 329, Ширина - 329, Размер файла - 293480 байт 
Имя файла - 2854.png, Высота - 326, Ширина - 327, Размер файла - 257563 байт 
Имя файла - 2855.png, Высота - 327, Ширина - 326, Размер файла - 257636 байт 
Имя файла - 2856.png, Высота - 591, Ширина - 437, Размер файла - 358359 байт 
Имя файла - 2857.png, Высота - 437, Ширина - 591, Размер файла - 406875 байт 
Имя файла - 2858.png, Высота - 384, Ширина - 384, Размер файла - 278996 байт 
Имя файла - 2859.png, Высота - 593, Ширина - 439, Размер файла - 470242 байт 
Имя файла - 2860.png, Высота - 355, Ширина - 496, Размер файла - 268777 байт 
Имя файла - 2861.png, Высота - 355, Ширина - 496, Размер файла - 250270 байт 
Имя файла - 2862.png, Высота - 355, Ширина - 496, Размер файла - 280037 байт 
Имя файла - 2863.png, Высота - 355, Ширина - 496, Размер файла - 247968 байт 
Имя файла - 2864.png, Высота - 592, Ширина - 437, Размер файла - 332850 байт 
Имя файла - 2865.png, Высота - 592, Ширина - 437, Размер файла - 352854 байт 
Имя файла - 2866.png, Высота - 592, Ширина - 437, Размер файла - 329791 байт 
Имя файла - 2867.png, Высота - 592, Ширина - 437, Размер файла - 328622 байт 
Имя файла - 2868.png, Высота - 888, Ширина - 1203, Размер файла - 1685617 байт 
Имя файла - 2869.png, Высота - 591, Ширина - 589, Размер файла - 743788 байт 
Имя файла - 2870.png, Высота - 354, Ширина - 497, Размер файла - 254112 байт 
Имя файла - 2871.png, Высота - 354, Ширина - 497, Размер файла - 267696 байт 
Имя файла - 2872.png, Высота - 355, Ширина - 497, Размер файла - 287094 байт 
Имя файла - 2873.png, Высота - 396, Ширина - 485, Размер файла - 378195 байт 
Имя файла - 2874.png, Высота - 396, Ширина - 484, Размер файла - 375304 байт 
Имя файла - 2875.png, Высота - 396, Ширина - 485, Размер файла - 380508 байт 
Имя файла - 2876.png, Высота - 396, Ширина - 485, Размер файла - 362282 байт 
Имя файла - 2877.png, Высота - 497, Ширина - 355, Размер файла - 419350 байт 
Имя файла - 2878.png, Высота - 437, Ширина - 437, Размер файла - 393202 байт 
Имя файла - 2879.png, Высота - 437, Ширина - 591, Размер файла - 353609 байт 
Имя файла - 2880.png, Высота - 355, Ширина - 498, Размер файла - 339811 байт 
Имя файла - 2881.png, Высота - 384, Ширина - 768, Размер файла - 427190 байт 
Имя файла - 2882.png, Высота - 591, Ширина - 437, Размер файла - 499191 байт 
Имя файла - 2883.png, Высота - 417, Ширина - 310, Размер файла - 246732 байт 
