Обработано 100 файлов. Результаты сохранены в result.txt 
  Обработка была произведена 2026-02-06 18:49:05.152621 
Имя файла - 500.png, Высота - 294, Ширина - 404, Размер файла - 244204 байт 
Имя файла - 501.png, Высота - 273, Ширина - 382, Размер файла - 213586 байт 
Имя файла - 502.png, Высота - 169, Ширина - 227, Размер файла - 102916 байт 
Имя файла - 503.png, Высота - 169, Ширина - 229, Размер файла - 98089 байт 
Имя файла - 504.png, Высота - 487, Ширина - 366, Размер файла - 321181 байт 
Имя файла - 505.png, Высота - 487, Ширина - 366, Размер файла - 330019 байт 
Имя файла - 506.png, Высота - 487, Ширина - 366, Размер файла - 282201 байт 
Имя файла - 507.png, Высота - 259, Ширина - 184, Размер файла - 109136 байт 
Имя файла - 508.png, Высота - 279, Ширина - 386, Размер файла - 185732 байт 
Имя файла - 509.png, Высота - 389, Ширина - 275, Размер файла - 211286 байт 
Имя файла - 510.png, Высота - 279, Ширина - 389, Размер файла - 194532 байт 
Имя файла - 511.png, Высота - 388, Ширина - 271, Размер файла - 209609 байт 
Имя файла - 512.png, Высота - 279, Ширина - 390, Размер файла - 206652 байт 
Имя файла - 513.png, Высота - 360, Ширина - 258, Размер файла - 155452 байт 
Имя файла - 514.png, Высота - 360, Ширина - 258, Размер файла - 164589 байт 
Имя файла - 515.png, Высота - 359, Ширина - 254, Размер файла - 162219 байт 
Имя файла - 516.png, Высота - 359, Ширина - 254, Размер файла - 168131 байт 
Имя файла - 517.png, Высота - 359, Ширина - 254, Размер файла - 165875 байт 
Имя файла - 518.png, Высота - 183, Ширина - 259, Размер файла - 85814 байт 
Имя файла - 519.png, Высота - 256, Ширина - 359, Размер файла - 181874 байт 
Имя файла - 520.png, Высота - 321, Ширина - 320, Размер файла - 208645 байт 
Имя файла - 521.png, Высота - 277, Ширина - 202, Размер файла - 124886 байт 
Имя файла - 522.png, Высота - 277, Ширина - 203, Размер файла - 136407 байт 
Имя файла - 523.png, Высота - 143, Ширина - 313, Размер файла - 123745 байт 
Имя файла - 524.png, Высота - 142, Ширина - 314, Размер файла - 120504 байт 
Имя файла - 525.png, Высота - 142, Ширина - 313, Размер файла - 116908 байт 
Имя файла - 526.png, Высота - 142, Ширина - 317, Размер файла - 119046 байт 
Имя файла - 527.png, Высота - 142, Ширина - 312, Размер файла - 129744 байт 
Имя файла - 528.png, Высота - 304, Ширина - 385, Размер файла - 243699 байт 
Имя файла - 529.png, Высота - 304, Ширина - 385, Размер файла - 239120 байт 
Имя файла - 530.png, Высота - 307, Ширина - 477, Размер файла - 207653 байт 
Имя файла - 531.png, Высота - 307, Ширина - 477, Размер файла - 189739 байт 
Имя файла - 532.png, Высота - 307, Ширина - 477, Размер файла - 172991 байт 
Имя файла - 533.png, Высота - 307, Ширина - 477, Размер файла - 211670 байт 
Имя файла - 534.png, Высота - 481, Ширина - 308, Размер файла - 191207 байт 
Имя файла - 535.png, Высота - 279, Ширина - 389, Размер файла - 214381 байт 
Имя файла - 536.png, Высота - 279, Ширина - 389, Размер файла - 222992 байт 
Имя файла - 537.png, Высота - 279, Ширина - 389, Размер файла - 211268 байт 
Имя файла - 538.png, Высота - 275, Ширина - 388, Размер файла - 222012 байт 
Имя файла - 539.png, Высота - 273, Ширина - 382, Размер файла - 209238 байт 
Имя файла - 540.png, Высота - 277, Ширина - 386, Размер файла - 220420 байт 
Имя файла - 541.png, Высота - 277, Ширина - 386, Размер файла - 217865 байт 
Имя файла - 542.png, Высота - 276, Ширина - 387, Размер файла - 215632 байт 
Имя файла - 543.png, Высота - 276, Ширина - 386, Размер файла - 195549 байт 
Имя файла - 544.png, Высота - 270, Ширина - 170, Размер файла - 109052 байт 
Имя файла - 545.png, Высота - 270, Ширина - 170, Размер файла - 105307 байт 
Имя файла - 546.png, Высота - 365, Ширина - 487, Размер файла - 239406 байт 
Имя файла - 547.png, Высота - 365, Ширина - 487, Размер файла - 256673 байт 
Имя файла - 548.png, Высота - 365, Ширина - 487, Размер файла - 290697 байт 
Имя файла - 549.png, Высота - 488, Ширина - 362, Размер файла - 257449 байт 
Имя файла - 550.png, Высота - 228, Ширина - 319, Размер файла - 155389 байт 
Имя файла - 551.png, Высота - 245, Ширина - 185, Размер файла - 125680 байт 
Имя файла - 552.png, Высота - 246, Ширина - 185, Размер файла - 144794 байт 
Имя файла - 553.png, Высота - 243, Ширина - 187, Размер файла - 130736 байт 
Имя файла - 554.png, Высота - 277, Ширина - 390, Размер файла - 198473 байт 
Имя файла - 555.png, Высота - 185, Ширина - 256, Размер файла - 85393 байт 
Имя файла - 556.png, Высота - 255, Ширина - 555, Размер файла - 238348 байт 
Имя файла - 557.png, Высота - 258, Ширина - 560, Размер файла - 254071 байт 
Имя файла - 558.png, Высота - 255, Ширина - 555, Размер файла - 245103 байт 
Имя файла - 559.png, Высота - 255, Ширина - 555, Размер файла - 256408 байт 
Имя файла - 560.png, Высота - 255, Ширина - 555, Размер файла - 241527 байт 
Имя файла - 561.png, Высота - 131, Ширина - 183, Размер файла - 67218 байт 
Имя файла - 562.png, Высота - 131, Ширина - 186, Размер файла - 72003 байт 
Имя файла - 563.png, Высота - 128, Ширина - 185, Размер файла - 69320 байт 
Имя файла - 564.png, Высота - 132, Ширина - 186, Размер файла - 70916 байт 
Имя файла - 565.png, Высота - 132, Ширина - 187, Размер файла - 74685 байт 
Имя файла - 566.png, Высота - 132, Ширина - 185, Размер файла - 76644 байт 
Имя файла - 567.png, Высота - 130, Ширина - 183, Размер файла - 72459 байт 
Имя файла - 568.png, Высота - 132, Ширина - 186, Размер файла - 65795 байт 
Имя файла - 569.png, Высота - 132, Ширина - 185, Размер файла - 69532 байт 
Имя файла - 570.png, Высота - 132, Ширина - 186, Размер файла - 72007 байт 
Имя файла - 571.png, Высота - 134, Ширина - 186, Размер файла - 74231 байт 
Имя файла - 572.png, Высота - 133, Ширина - 184, Размер файла - 76441 байт 
Имя файла - 573.png, Высота - 183, Ширина - 257, Размер файла - 108115 байт 
Имя файла - 574.png, Высота - 391, Ширина - 277, Размер файла - 211441 байт 
Имя файла - 575.png, Высота - 391, Ширина - 277, Размер файла - 221660 байт 
Имя файла - 576.png, Высота - 391, Ширина - 277, Размер файла - 237933 байт 
Имя файла - 577.png, Высота - 391, Ширина - 277, Размер файла - 201530 байт 
Имя файла - 578.png, Высота - 247, Ширина - 173, Размер файла - 102626 байт 
Имя файла - 579.png, Высота - 483, Ширина - 361, Размер файла - 345852 байт 
Имя файла - 580.png, Высота - 363, Ширина - 482, Размер файла - 368638 байт 
Имя файла - 581.png, Высота - 483, Ширина - 362, Размер файла - 343825 байт 
Имя файла - 582.png, Высота - 415, Ширина - 293, Размер файла - 232217 байт 
Имя файла - 583.png, Высота - 391, Ширина - 275, Размер файла - 175573 байт 
Имя файла - 584.png, Высота - 390, Ширина - 276, Размер файла - 184350 байт 
Имя файла - 585.png, Высота - 367, Ширина - 256, Размер файла - 161314 байт 
Имя файла - 586.png, Высота - 186, Ширина - 259, Размер файла - 114230 байт 
Имя файла - 587.png, Высота - 390, Ширина - 276, Размер файла - 204328 байт 
Имя файла - 588.png, Высота - 392, Ширина - 273, Размер файла - 218428 байт 
Имя файла - 589.png, Высота - 390, Ширина - 276, Размер файла - 190279 байт 
Имя файла - 590.png, Высота - 392, Ширина - 273, Размер файла - 218269 байт 
Имя файла - 591.png, Высота - 277, Ширина - 390, Размер файла - 203284 байт 
Имя файла - 592.png, Высота - 277, Ширина - 390, Размер файла - 196688 байт 
Имя файла - 593.png, Высота - 135, Ширина - 189, Размер файла - 76675 байт 
Имя файла - 594.png, Высота - 135, Ширина - 188, Размер файла - 77485 байт 
Имя файла - 595.png, Высота - 136, Ширина - 190, Размер файла - 75239 байт 
Имя файла - 596.png, Высота - 137, Ширина - 191, Размер файла - 75997 байт 
