Обработано 100 файлов. Результаты сохранены в result.txt 
  Обработка была произведена 2026-03-24 11:06:24.001522 
Имя файла - 3200.png, Высота - 769, Ширина - 1536, Размер файла - 2122982 байт 
Имя файла - 3201.png, Высота - 366, Ширина - 457, Размер файла - 588287 байт 
Имя файла - 3202.png, Высота - 354, Ширина - 497, Размер файла - 347960 байт 
Имя файла - 3203.png, Высота - 660, Ширина - 944, Размер файла - 852589 байт 
Имя файла - 3204.png, Высота - 662, Ширина - 948, Размер файла - 832021 байт 
Имя файла - 3205.png, Высота - 662, Ширина - 945, Размер файла - 867976 байт 
Имя файла - 3206.png, Высота - 663, Ширина - 945, Размер файла - 811506 байт 
Имя файла - 3207.png, Высота - 398, Ширина - 401, Размер файла - 111978 байт 
Имя файла - 3208.png, Высота - 434, Ширина - 321, Размер файла - 186253 байт 
Имя файла - 3209.png, Высота - 683, Ширина - 508, Размер файла - 959393 байт 
Имя файла - 3210.png, Высота - 839, Ширина - 625, Размер файла - 1365426 байт 
Имя файла - 3211.png, Высота - 592, Ширина - 437, Размер файла - 698844 байт 
Имя файла - 3212.png, Высота - 459, Ширина - 924, Размер файла - 430153 байт 
Имя файла - 3213.png, Высота - 364, Ширина - 442, Размер файла - 843028 байт 
Имя файла - 3214.png, Высота - 364, Ширина - 442, Размер файла - 838851 байт 
Имя файла - 3215.png, Высота - 364, Ширина - 442, Размер файла - 821791 байт 
Имя файла - 3216.png, Высота - 364, Ширина - 442, Размер файла - 819911 байт 
Имя файла - 3217.png, Высота - 768, Ширина - 384, Размер файла - 907620 байт 
Имя файла - 3218.png, Высота - 768, Ширина - 384, Размер файла - 896750 байт 
Имя файла - 3219.png, Высота - 828, Ширина - 828, Размер файла - 1639330 байт 
Имя файла - 3220.png, Высота - 414, Ширина - 414, Размер файла - 456221 байт 
Имя файла - 3221.png, Высота - 874, Ширина - 874, Размер файла - 2374778 байт 
Имя файла - 3222.png, Высота - 874, Ширина - 874, Размер файла - 1986345 байт 
Имя файла - 3223.png, Высота - 874, Ширина - 874, Размер файла - 1766040 байт 
Имя файла - 3224.png, Высота - 874, Ширина - 874, Размер файла - 2038460 байт 
Имя файла - 3225.png, Высота - 874, Ширина - 874, Размер файла - 2318030 байт 
Имя файла - 3226.png, Высота - 874, Ширина - 874, Размер файла - 2140956 байт 
Имя файла - 3227.png, Высота - 874, Ширина - 874, Размер файла - 2035643 байт 
Имя файла - 3228.png, Высота - 874, Ширина - 874, Размер файла - 1657101 байт 
Имя файла - 3229.png, Высота - 874, Ширина - 874, Размер файла - 1860948 байт 
Имя файла - 3230.png, Высота - 874, Ширина - 874, Размер файла - 2144141 байт 
Имя файла - 3231.png, Высота - 437, Ширина - 437, Размер файла - 669862 байт 
Имя файла - 3232.png, Высота - 437, Ширина - 437, Размер файла - 674251 байт 
Имя файла - 3233.png, Высота - 1536, Ширина - 768, Размер файла - 2540095 байт 
Имя файла - 3234.png, Высота - 831, Ширина - 828, Размер файла - 556419 байт 
Имя файла - 3235.png, Высота - 355, Ширина - 497, Размер файла - 474649 байт 
Имя файла - 3236.png, Высота - 710, Ширина - 993, Размер файла - 1648168 байт 
Имя файла - 3237.png, Высота - 440, Ширина - 592, Размер файла - 751614 байт 
Имя файла - 3238.png, Высота - 590, Ширина - 437, Размер файла - 405724 байт 
Имя файла - 3239.png, Высота - 997, Ширина - 717, Размер файла - 1630003 байт 
Имя файла - 3240.png, Высота - 1182, Ширина - 875, Размер файла - 3632468 байт 
Имя файла - 3241.png, Высота - 446, Ширина - 338, Размер файла - 490624 байт 
Имя файла - 3242.png, Высота - 492, Ширина - 355, Размер файла - 402167 байт 
Имя файла - 3243.png, Высота - 497, Ширина - 355, Размер файла - 403289 байт 
Имя файла - 3244.png, Высота - 497, Ширина - 355, Размер файла - 392330 байт 
Имя файла - 3245.png, Высота - 497, Ширина - 355, Размер файла - 411730 байт 
Имя файла - 3246.png, Высота - 1891, Ширина - 1890, Размер файла - 9914567 байт 
Имя файла - 3247.png, Высота - 1891, Ширина - 1890, Размер файла - 7753749 байт 
Имя файла - 3248.png, Высота - 1891, Ширина - 1890, Размер файла - 7656029 байт 
Имя файла - 3249.png, Высота - 1891, Ширина - 1890, Размер файла - 8265064 байт 
Имя файла - 3250.png, Высота - 418, Ширина - 304, Размер файла - 374056 байт 
Имя файла - 3251.png, Высота - 591, Ширина - 438, Размер файла - 568957 байт 
Имя файла - 3252.png, Высота - 591, Ширина - 438, Размер файла - 617165 байт 
Имя файла - 3253.png, Высота - 880, Ширина - 1184, Размер файла - 2432525 байт 
Имя файла - 3254.png, Высота - 355, Ширина - 497, Размер файла - 698624 байт 
