Обработано 100 файлов. Результаты сохранены в result.txt 
  Обработка была произведена 2026-03-20 11:22:57.866125 
Имя файла - 3000.png, Высота - 438, Ширина - 591, Размер файла - 437374 байт 
Имя файла - 3001.png, Высота - 591, Ширина - 592, Размер файла - 737287 байт 
Имя файла - 3002.png, Высота - 354, Ширина - 497, Размер файла - 278543 байт 
Имя файла - 3003.png, Высота - 354, Ширина - 497, Размер файла - 280797 байт 
Имя файла - 3004.png, Высота - 354, Ширина - 497, Размер файла - 274445 байт 
Имя файла - 3005.png, Высота - 354, Ширина - 497, Размер файла - 281026 байт 
Имя файла - 3006.png, Высота - 354, Ширина - 497, Размер файла - 291775 байт 
Имя файла - 3007.png, Высота - 354, Ширина - 497, Размер файла - 280494 байт 
Имя файла - 3008.png, Высота - 354, Ширина - 497, Размер файла - 278941 байт 
Имя файла - 3009.png, Высота - 354, Ширина - 497, Размер файла - 286113 байт 
Имя файла - 3010.png, Высота - 354, Ширина - 497, Размер файла - 281251 байт 
Имя файла - 3011.png, Высота - 357, Ширина - 497, Размер файла - 259186 байт 
Имя файла - 3012.png, Высота - 357, Ширина - 498, Размер файла - 415898 байт 
Имя файла - 3013.png, Высота - 520, Ширина - 520, Размер файла - 339928 байт 
Имя файла - 3014.png, Высота - 437, Ширина - 438, Размер файла - 384994 байт 
Имя файла - 3015.png, Высота - 383, Ширина - 766, Размер файла - 495216 байт 
Имя файла - 3016.png, Высота - 385, Ширина - 387, Размер файла - 248347 байт 
Имя файла - 3017.png, Высота - 618, Ширина - 620, Размер файла - 465274 байт 
Имя файла - 3018.png, Высота - 437, Ширина - 437, Размер файла - 290145 байт 
Имя файла - 3019.png, Высота - 437, Ширина - 437, Размер файла - 349593 байт 
Имя файла - 3020.png, Высота - 307, Ширина - 686, Размер файла - 365693 байт 
Имя файла - 3021.png, Высота - 438, Ширина - 590, Размер файла - 588012 байт 
Имя файла - 3022.png, Высота - 520, Ширина - 414, Размер файла - 288193 байт 
Имя файла - 3023.png, Высота - 592, Ширина - 437, Размер файла - 378742 байт 
Имя файла - 3024.png, Высота - 592, Ширина - 437, Размер файла - 382607 байт 
Имя файла - 3025.png, Высота - 592, Ширина - 437, Размер файла - 371788 байт 
Имя файла - 3026.png, Высота - 592, Ширина - 437, Размер файла - 366177 байт 
Имя файла - 3027.png, Высота - 946, Ширина - 945, Размер файла - 1523063 байт 
Имя файла - 3028.png, Высота - 946, Ширина - 945, Размер файла - 1523063 байт 
Имя файла - 3029.png, Высота - 946, Ширина - 945, Размер файла - 1523063 байт 
Имя файла - 3030.png, Высота - 946, Ширина - 945, Размер файла - 1523063 байт 
Имя файла - 3031.png, Высота - 592, Ширина - 438, Размер файла - 571558 байт 
Имя файла - 3032.png, Высота - 354, Ширина - 497, Размер файла - 280715 байт 
Имя файла - 3033.png, Высота - 354, Ширина - 497, Размер файла - 254159 байт 
Имя файла - 3034.png, Высота - 355, Ширина - 497, Размер файла - 323859 байт 
Имя файла - 3035.png, Высота - 591, Ширина - 591, Размер файла - 586552 байт 
Имя файла - 3036.png, Высота - 437, Ширина - 591, Размер файла - 492055 байт 
Имя файла - 3037.png, Высота - 591, Ширина - 591, Размер файла - 544298 байт 
Имя файла - 3038.png, Высота - 591, Ширина - 437, Размер файла - 495774 байт 
Имя файла - 3039.png, Высота - 355, Ширина - 496, Размер файла - 297550 байт 
Имя файла - 3040.png, Высота - 357, Ширина - 453, Размер файла - 338400 байт 
Имя файла - 3041.png, Высота - 357, Ширина - 453, Размер файла - 331938 байт 
Имя файла - 3042.png, Высота - 357, Ширина - 453, Размер файла - 336228 байт 
Имя файла - 3043.png, Высота - 357, Ширина - 453, Размер файла - 334610 байт 
Имя файла - 3044.png, Высота - 591, Ширина - 437, Размер файла - 391544 байт 
Имя файла - 3045.png, Высота - 591, Ширина - 438, Размер файла - 505038 байт 
Имя файла - 3046.png, Высота - 498, Ширина - 355, Размер файла - 403577 байт 
Имя файла - 3047.png, Высота - 355, Ширина - 497, Размер файла - 333886 байт 
Имя файла - 3048.png, Высота - 383, Ширина - 769, Размер файла - 534941 байт 
Имя файла - 3049.png, Высота - 437, Ширина - 591, Размер файла - 421662 байт 
