Обработано 100 файлов. Результаты сохранены в result.txt 
  Обработка была произведена 2026-02-26 11:02:15.875136 
Имя файла - 1900.png, Высота - 300, Ширина - 300, Размер файла - 140488 байт 
Имя файла - 1901.png, Высота - 301, Ширина - 300, Размер файла - 150359 байт 
Имя файла - 1902.png, Высота - 300, Ширина - 150, Размер файла - 69868 байт 
Имя файла - 1903.png, Высота - 222, Ширина - 300, Размер файла - 119043 байт 
Имя файла - 1904.png, Высота - 300, Ширина - 300, Размер файла - 154366 байт 
Имя файла - 1905.png, Высота - 300, Ширина - 300, Размер файла - 197187 байт 
Имя файла - 1906.png, Высота - 222, Ширина - 300, Размер файла - 117377 байт 
Имя файла - 1907.png, Высота - 300, Ширина - 300, Размер файла - 144207 байт 
Имя файла - 1908.png, Высота - 222, Ширина - 300, Размер файла - 134985 байт 
Имя файла - 1909.png, Высота - 112, Ширина - 156, Размер файла - 34916 байт 
Имя файла - 1910.png, Высота - 300, Ширина - 222, Размер файла - 123533 байт 
Имя файла - 1911.png, Высота - 299, Ширина - 300, Размер файла - 132534 байт 
Имя файла - 1912.png, Высота - 136, Ширина - 189, Размер файла - 20751 байт 
Имя файла - 1913.png, Высота - 300, Ширина - 225, Размер файла - 96886 байт 
Имя файла - 1914.png, Высота - 400, Ширина - 200, Размер файла - 133651 байт 
Имя файла - 1915.png, Высота - 401, Ширина - 200, Размер файла - 129022 байт 
Имя файла - 1916.png, Высота - 401, Ширина - 200, Размер файла - 131757 байт 
Имя файла - 1917.png, Высота - 302, Ширина - 300, Размер файла - 157152 байт 
Имя файла - 1918.png, Высота - 302, Ширина - 300, Размер файла - 155253 байт 
Имя файла - 1919.png, Высота - 302, Ширина - 300, Размер файла - 159923 байт 
Имя файла - 1920.png, Высота - 301, Ширина - 300, Размер файла - 159261 байт 
Имя файла - 1921.png, Высота - 302, Ширина - 300, Размер файла - 157930 байт 
Имя файла - 1922.png, Высота - 302, Ширина - 300, Размер файла - 157603 байт 
Имя файла - 1923.png, Высота - 299, Ширина - 300, Размер файла - 123075 байт 
Имя файла - 1924.png, Высота - 301, Ширина - 300, Размер файла - 119945 байт 
Имя файла - 1925.png, Высота - 128, Ширина - 184, Размер файла - 62325 байт 
Имя файла - 1926.png, Высота - 128, Ширина - 184, Размер файла - 62898 байт 
Имя файла - 1927.png, Высота - 214, Ширина - 300, Размер файла - 121258 байт 
Имя файла - 1928.png, Высота - 175, Ширина - 350, Размер файла - 107961 байт 
Имя файла - 1929.png, Высота - 103, Ширина - 76, Размер файла - 19722 байт 
Имя файла - 1930.png, Высота - 231, Ширина - 279, Размер файла - 141164 байт 
Имя файла - 1931.png, Высота - 233, Ширина - 288, Размер файла - 137997 байт 
Имя файла - 1932.png, Высота - 234, Ширина - 290, Размер файла - 123386 байт 
Имя файла - 1933.png, Высота - 230, Ширина - 288, Размер файла - 121381 байт 
Имя файла - 1934.png, Высота - 384, Ширина - 192, Размер файла - 161192 байт 
Имя файла - 1935.png, Высота - 384, Ширина - 192, Размер файла - 164071 байт 
Имя файла - 1936.png, Высота - 384, Ширина - 192, Размер файла - 160713 байт 
Имя файла - 1937.png, Высота - 259, Ширина - 350, Размер файла - 166591 байт 
Имя файла - 1938.png, Высота - 280, Ширина - 200, Размер файла - 117199 байт 
Имя файла - 1939.png, Высота - 125, Ширина - 250, Размер файла - 62819 байт 
Имя файла - 1940.png, Высота - 296, Ширина - 400, Размер файла - 226637 байт 
Имя файла - 1941.png, Высота - 200, Ширина - 400, Размер файла - 122702 байт 
Имя файла - 1942.png, Высота - 200, Ширина - 400, Размер файла - 124214 байт 
Имя файла - 1943.png, Высота - 200, Ширина - 400, Размер файла - 126604 байт 
Имя файла - 1944.png, Высота - 200, Ширина - 400, Размер файла - 122993 байт 
Имя файла - 1945.png, Высота - 401, Ширина - 200, Размер файла - 171874 байт 
Имя файла - 1946.png, Высота - 401, Ширина - 200, Размер файла - 177150 байт 
Имя файла - 1947.png, Высота - 401, Ширина - 200, Размер файла - 168384 байт 
Имя файла - 1948.png, Высота - 401, Ширина - 200, Размер файла - 174564 байт 
Имя файла - 1949.png, Высота - 349, Ширина - 350, Размер файла - 195615 байт 
Имя файла - 1950.png, Высота - 250, Ширина - 350, Размер файла - 107076 байт 
Имя файла - 1951.png, Высота - 175, Ширина - 350, Размер файла - 120038 байт 
Имя файла - 1952.png, Высота - 259, Ширина - 350, Размер файла - 170652 байт 
Имя файла - 1953.png, Высота - 350, Ширина - 350, Размер файла - 212440 байт 
Имя файла - 1954.png, Высота - 200, Ширина - 400, Размер файла - 164545 байт 
Имя файла - 1955.png, Высота - 200, Ширина - 400, Размер файла - 165375 байт 
Имя файла - 1956.png, Высота - 200, Ширина - 400, Размер файла - 160273 байт 
Имя файла - 1957.png, Высота - 200, Ширина - 400, Размер файла - 166021 байт 
Имя файла - 1958.png, Высота - 175, Ширина - 238, Размер файла - 99764 байт 
Имя файла - 1959.png, Высота - 200, Ширина - 400, Размер файла - 166705 байт 
Имя файла - 1960.png, Высота - 156, Ширина - 121, Размер файла - 75705 байт 
Имя файла - 1961.png, Высота - 157, Ширина - 121, Размер файла - 77831 байт 
Имя файла - 1962.png, Высота - 158, Ширина - 120, Размер файла - 80472 байт 
Имя файла - 1963.png, Высота - 351, Ширина - 250, Размер файла - 160541 байт 
Имя файла - 1964.png, Высота - 351, Ширина - 250, Размер файла - 139388 байт 
Имя файла - 1965.png, Высота - 350, Ширина - 350, Размер файла - 249268 байт 
Имя файла - 1966.png, Высота - 296, Ширина - 400, Размер файла - 246463 байт 
Имя файла - 1967.png, Высота - 400, Ширина - 296, Размер файла - 258514 байт 
Имя файла - 1968.png, Высота - 350, Ширина - 350, Размер файла - 102008 байт 
Имя файла - 1969.png, Высота - 350, Ширина - 250, Размер файла - 102968 байт 
Имя файла - 1970.png, Высота - 296, Ширина - 400, Размер файла - 233555 байт 
Имя файла - 1971.png, Высота - 274, Ширина - 350, Размер файла - 122594 байт 
Имя файла - 1972.png, Высота - 271, Ширина - 350, Размер файла - 166535 байт 
