Обработано 100 файлов. Результаты сохранены в result.txt 
  Обработка была произведена 2026-03-04 12:02:48.048566 
Имя файла - 2200.png, Высота - 126, Ширина - 128, Размер файла - 75771 байт 
Имя файла - 2201.png, Высота - 126, Ширина - 127, Размер файла - 71145 байт 
Имя файла - 2202.png, Высота - 350, Ширина - 345, Размер файла - 308421 байт 
Имя файла - 2203.png, Высота - 254, Ширина - 350, Размер файла - 235925 байт 
Имя файла - 2204.png, Высота - 252, Ширина - 350, Размер файла - 239175 байт 
Имя файла - 2205.png, Высота - 254, Ширина - 350, Размер файла - 221184 байт 
Имя файла - 2206.png, Высота - 252, Ширина - 350, Размер файла - 205033 байт 
Имя файла - 2207.png, Высота - 247, Ширина - 350, Размер файла - 202766 байт 
Имя файла - 2208.png, Высота - 286, Ширина - 350, Размер файла - 242731 байт 
Имя файла - 2209.png, Высота - 292, Ширина - 350, Размер файла - 250800 байт 
Имя файла - 2210.png, Высота - 283, Ширина - 350, Размер файла - 239479 байт 
Имя файла - 2211.png, Высота - 291, Ширина - 350, Размер файла - 241535 байт 
Имя файла - 2212.png, Высота - 144, Ширина - 207, Размер файла - 107536 байт 
Имя файла - 2213.png, Высота - 144, Ширина - 200, Размер файла - 105129 байт 
Имя файла - 2214.png, Высота - 147, Ширина - 206, Размер файла - 112525 байт 
Имя файла - 2215.png, Высота - 142, Ширина - 201, Размер файла - 109474 байт 
Имя файла - 2216.png, Высота - 345, Ширина - 350, Размер файла - 293874 байт 
Имя файла - 2217.png, Высота - 273, Ширина - 194, Размер файла - 123789 байт 
Имя файла - 2218.png, Высота - 309, Ширина - 227, Размер файла - 189296 байт 
Имя файла - 2219.png, Высота - 175, Ширина - 350, Размер файла - 177424 байт 
Имя файла - 2220.png, Высота - 348, Ширина - 350, Размер файла - 272293 байт 
Имя файла - 2221.png, Высота - 350, Ширина - 254, Размер файла - 239640 байт 
Имя файла - 2222.png, Высота - 350, Ширина - 259, Размер файла - 238149 байт 
Имя файла - 2223.png, Высота - 350, Ширина - 262, Размер файла - 244781 байт 
Имя файла - 2224.png, Высота - 350, Ширина - 261, Размер файла - 242493 байт 
Имя файла - 2225.png, Высота - 182, Ширина - 132, Размер файла - 55740 байт 
Имя файла - 2226.png, Высота - 232, Ширина - 169, Размер файла - 89561 байт 
Имя файла - 2227.png, Высота - 176, Ширина - 350, Размер файла - 143984 байт 
Имя файла - 2228.png, Высота - 345, Ширина - 350, Размер файла - 292635 байт 
Имя файла - 2229.png, Высота - 246, Ширина - 350, Размер файла - 190265 байт 
Имя файла - 2230.png, Высота - 344, Ширина - 350, Размер файла - 299488 байт 
Имя файла - 2231.png, Высота - 350, Ширина - 248, Размер файла - 219326 байт 
Имя файла - 2232.png, Высота - 350, Ширина - 253, Размер файла - 232480 байт 
Имя файла - 2233.png, Высота - 350, Ширина - 254, Размер файла - 218698 байт 
Имя файла - 2234.png, Высота - 350, Ширина - 252, Размер файла - 204848 байт 
Имя файла - 2235.png, Высота - 350, Ширина - 252, Размер файла - 190480 байт 
