Обработано 100 файлов. Результаты сохранены в result.txt 
  Обработка была произведена 2026-03-01 12:36:57.911406 
Имя файла - 2100.png, Высота - 197, Ширина - 400, Размер файла - 215423 байт 
Имя файла - 2101.png, Высота - 197, Ширина - 400, Размер файла - 173673 байт 
Имя файла - 2102.png, Высота - 197, Ширина - 400, Размер файла - 184279 байт 
Имя файла - 2103.png, Высота - 242, Ширина - 350, Размер файла - 203420 байт 
Имя файла - 2104.png, Высота - 350, Ширина - 250, Размер файла - 192224 байт 
Имя файла - 2105.png, Высота - 257, Ширина - 350, Размер файла - 223881 байт 
Имя файла - 2106.png, Высота - 345, Ширина - 350, Размер файла - 181391 байт 
Имя файла - 2107.png, Высота - 350, Ширина - 349, Размер файла - 287647 байт 
Имя файла - 2108.png, Высота - 288, Ширина - 350, Размер файла - 248190 байт 
Имя файла - 2109.png, Высота - 352, Ширина - 350, Размер файла - 304871 байт 
Имя файла - 2110.png, Высота - 350, Ширина - 347, Размер файла - 260841 байт 
Имя файла - 2111.png, Высота - 400, Ширина - 203, Размер файла - 211067 байт 
Имя файла - 2112.png, Высота - 400, Ширина - 203, Размер файла - 201829 байт 
Имя файла - 2113.png, Высота - 400, Ширина - 199, Размер файла - 205170 байт 
Имя файла - 2114.png, Высота - 400, Ширина - 202, Размер файла - 199862 байт 
Имя файла - 2115.png, Высота - 256, Ширина - 350, Размер файла - 200481 байт 
Имя файла - 2116.png, Высота - 262, Ширина - 350, Размер файла - 200080 байт 
Имя файла - 2117.png, Высота - 262, Ширина - 350, Размер файла - 202176 байт 
Имя файла - 2118.png, Высота - 257, Ширина - 350, Размер файла - 194753 байт 
Имя файла - 2119.png, Высота - 346, Ширина - 350, Размер файла - 279683 байт 
Имя файла - 2120.png, Высота - 350, Ширина - 348, Размер файла - 284575 байт 
Имя файла - 2121.png, Высота - 346, Ширина - 350, Размер файла - 268701 байт 
Имя файла - 2122.png, Высота - 350, Ширина - 349, Размер файла - 286018 байт 
Имя файла - 2123.png, Высота - 350, Ширина - 348, Размер файла - 247800 байт 
Имя файла - 2124.png, Высота - 253, Ширина - 350, Размер файла - 206665 байт 
Имя файла - 2125.png, Высота - 252, Ширина - 350, Размер файла - 218538 байт 
Имя файла - 2126.png, Высота - 351, Ширина - 350, Размер файла - 268644 байт 
Имя файла - 2127.png, Высота - 174, Ширина - 132, Размер файла - 84972 байт 
Имя файла - 2128.png, Высота - 176, Ширина - 131, Размер файла - 86293 байт 
Имя файла - 2129.png, Высота - 174, Ширина - 133, Размер файла - 86165 байт 
Имя файла - 2130.png, Высота - 350, Ширина - 253, Размер файла - 192183 байт 
Имя файла - 2131.png, Высота - 350, Ширина - 248, Размер файла - 182054 байт 
Имя файла - 2132.png, Высота - 201, Ширина - 400, Размер файла - 199150 байт 
Имя файла - 2133.png, Высота - 199, Ширина - 400, Размер файла - 198138 байт 
Имя файла - 2134.png, Высота - 201, Ширина - 400, Размер файла - 196638 байт 
Имя файла - 2135.png, Высота - 198, Ширина - 400, Размер файла - 194253 байт 
Имя файла - 2136.png, Высота - 143, Ширина - 286, Размер файла - 90972 байт 
Имя файла - 2137.png, Высота - 247, Ширина - 350, Размер файла - 219395 байт 
Имя файла - 2138.png, Высота - 350, Ширина - 347, Размер файла - 214930 байт 
Имя файла - 2139.png, Высота - 172, Ширина - 350, Размер файла - 149870 байт 
Имя файла - 2140.png, Высота - 185, Ширина - 134, Размер файла - 57131 байт 
Имя файла - 2141.png, Высота - 185, Ширина - 136, Размер файла - 53603 байт 
Имя файла - 2142.png, Высота - 223, Ширина - 300, Размер файла - 178274 байт 
Имя файла - 2143.png, Высота - 346, Ширина - 350, Размер файла - 253280 байт 
Имя файла - 2144.png, Высота - 346, Ширина - 350, Размер файла - 258014 байт 
Имя файла - 2145.png, Высота - 246, Ширина - 350, Размер файла - 186373 байт 
Имя файла - 2146.png, Высота - 252, Ширина - 350, Размер файла - 183664 байт 
Имя файла - 2147.png, Высота - 192, Ширина - 146, Размер файла - 91444 байт 
Имя файла - 2148.png, Высота - 190, Ширина - 145, Размер файла - 88273 байт 
Имя файла - 2149.png, Высота - 249, Ширина - 350, Размер файла - 195213 байт 
Имя файла - 2150.png, Высота - 248, Ширина - 350, Размер файла - 192836 байт 
Имя файла - 2151.png, Высота - 252, Ширина - 350, Размер файла - 218504 байт 
Имя файла - 2152.png, Высота - 350, Ширина - 253, Размер файла - 203175 байт 
Имя файла - 2153.png, Высота - 175, Ширина - 350, Размер файла - 170981 байт 
Имя файла - 2154.png, Высота - 176, Ширина - 350, Размер файла - 170838 байт 
