Обработано 100 файлов. Результаты сохранены в result.txt 
  Обработка была произведена 2026-03-26 14:20:25.230972 
Имя файла - 3300.png, Высота - 366, Ширина - 456, Размер файла - 723901 байт 
Имя файла - 3301.png, Высота - 366, Ширина - 456, Размер файла - 732189 байт 
Имя файла - 3302.png, Высота - 366, Ширина - 456, Размер файла - 723793 байт 
Имя файла - 3303.png, Высота - 366, Ширина - 456, Размер файла - 723551 байт 
Имя файла - 3304.png, Высота - 875, Ширина - 875, Размер файла - 1167090 байт 
Имя файла - 3305.png, Высота - 875, Ширина - 875, Размер файла - 997210 байт 
Имя файла - 3306.png, Высота - 875, Ширина - 875, Размер файла - 1060638 байт 
Имя файла - 3307.png, Высота - 875, Ширина - 875, Размер файла - 1163477 байт 
Имя файла - 3308.png, Высота - 875, Ширина - 875, Размер файла - 1184892 байт 
Имя файла - 3309.png, Высота - 875, Ширина - 875, Размер файла - 1094560 байт 
Имя файла - 3310.png, Высота - 737, Ширина - 737, Размер файла - 543021 байт 
Имя файла - 3311.png, Высота - 710, Ширина - 993, Размер файла - 1709122 байт 
Имя файла - 3312.png, Высота - 615, Ширина - 876, Размер файла - 1746343 байт 
Имя файла - 3313.png, Высота - 333, Ширина - 473, Размер файла - 267902 байт 
Имя файла - 3314.png, Высота - 325, Ширина - 466, Размер файла - 228232 байт 
Имя файла - 3315.png, Высота - 332, Ширина - 473, Размер файла - 257433 байт 
Имя файла - 3316.png, Высота - 331, Ширина - 473, Размер файла - 247597 байт 
Имя файла - 3317.png, Высота - 495, Ширина - 354, Размер файла - 186809 байт 
Имя файла - 3318.png, Высота - 770, Ширина - 1539, Размер файла - 3791214 байт 
Имя файла - 3319.png, Высота - 685, Ширина - 307, Размер файла - 314314 байт 
Имя файла - 3320.png, Высота - 364, Ширина - 641, Размер файла - 355266 байт 
Имя файла - 3321.png, Высота - 1184, Ширина - 875, Размер файла - 3973087 байт 
Имя файла - 3322.png, Высота - 591, Ширина - 439, Размер файла - 1046279 байт 
Имя файла - 3323.png, Высота - 993, Ширина - 710, Размер файла - 2169079 байт 
Имя файла - 3324.png, Высота - 768, Ширина - 384, Размер файла - 884567 байт 
