Обработано 100 файлов. Результаты сохранены в result.txt 
  Обработка была произведена 2026-02-08 17:42:52.326140 
Имя файла - 600.png, Высота - 135, Ширина - 188, Размер файла - 78494 байт 
Имя файла - 601.png, Высота - 136, Ширина - 192, Размер файла - 78124 байт 
Имя файла - 602.png, Высота - 137, Ширина - 189, Размер файла - 74053 байт 
Имя файла - 603.png, Высота - 136, Ширина - 188, Размер файла - 68978 байт 
Имя файла - 604.png, Высота - 139, Ширина - 189, Размер файла - 81773 байт 
Имя файла - 605.png, Высота - 161, Ширина - 155, Размер файла - 84618 байт 
Имя файла - 606.png, Высота - 161, Ширина - 152, Размер файла - 74299 байт 
Имя файла - 607.png, Высота - 160, Ширина - 151, Размер файла - 80848 байт 
Имя файла - 608.png, Высота - 161, Ширина - 153, Размер файла - 74112 байт 
Имя файла - 609.png, Высота - 161, Ширина - 153, Размер файла - 80344 байт 
Имя файла - 610.png, Высота - 393, Ширина - 276, Размер файла - 192819 байт 
Имя файла - 611.png, Высота - 393, Ширина - 276, Размер файла - 206244 байт 
Имя файла - 612.png, Высота - 393, Ширина - 276, Размер файла - 215692 байт 
Имя файла - 613.png, Высота - 255, Ширина - 557, Размер файла - 294250 байт 
Имя файла - 614.png, Высота - 260, Ширина - 558, Размер файла - 297236 байт 
Имя файла - 615.png, Высота - 255, Ширина - 557, Размер файла - 285748 байт 
Имя файла - 616.png, Высота - 255, Ширина - 557, Размер файла - 313084 байт 
Имя файла - 617.png, Высота - 133, Ширина - 186, Размер файла - 74672 байт 
Имя файла - 618.png, Высота - 131, Ширина - 186, Размер файла - 57598 байт 
Имя файла - 619.png, Высота - 133, Ширина - 184, Размер файла - 69177 байт 
Имя файла - 620.png, Высота - 131, Ширина - 185, Размер файла - 71732 байт 
Имя файла - 621.png, Высота - 133, Ширина - 187, Размер файла - 69133 байт 
Имя файла - 622.png, Высота - 132, Ширина - 184, Размер файла - 67300 байт 
Имя файла - 623.png, Высота - 130, Ширина - 185, Размер файла - 75138 байт 
Имя файла - 624.png, Высота - 132, Ширина - 186, Размер файла - 67837 байт 
Имя файла - 625.png, Высота - 131, Ширина - 183, Размер файла - 72909 байт 
Имя файла - 626.png, Высота - 129, Ширина - 184, Размер файла - 72548 байт 
Имя файла - 627.png, Высота - 131, Ширина - 186, Размер файла - 77679 байт 
Имя файла - 628.png, Высота - 132, Ширина - 187, Размер файла - 75336 байт 
Имя файла - 629.png, Высота - 150, Ширина - 204, Размер файла - 97808 байт 
Имя файла - 630.png, Высота - 150, Ширина - 202, Размер файла - 102714 байт 
Имя файла - 631.png, Высота - 129, Ширина - 187, Размер файла - 76113 байт 
Имя файла - 632.png, Высота - 129, Ширина - 190, Размер файла - 76361 байт 
Имя файла - 633.png, Высота - 132, Ширина - 184, Размер файла - 73835 байт 
Имя файла - 634.png, Высота - 130, Ширина - 188, Размер файла - 78558 байт 
Имя файла - 635.png, Высота - 131, Ширина - 185, Размер файла - 77804 байт 
Имя файла - 636.png, Высота - 129, Ширина - 185, Размер файла - 71910 байт 
Имя файла - 637.png, Высота - 131, Ширина - 185, Размер файла - 68080 байт 
Имя файла - 638.png, Высота - 130, Ширина - 186, Размер файла - 76732 байт 
Имя файла - 639.png, Высота - 128, Ширина - 184, Размер файла - 68748 байт 
Имя файла - 640.png, Высота - 127, Ширина - 185, Размер файла - 72852 байт 
Имя файла - 641.png, Высота - 131, Ширина - 187, Размер файла - 77897 байт 
Имя файла - 642.png, Высота - 131, Ширина - 185, Размер файла - 75835 байт 
Имя файла - 643.png, Высота - 364, Ширина - 482, Размер файла - 315821 байт 
Имя файла - 644.png, Высота - 413, Ширина - 295, Размер файла - 279533 байт 
Имя файла - 645.png, Высота - 271, Ширина - 383, Размер файла - 213837 байт 
Имя файла - 646.png, Высота - 276, Ширина - 387, Размер файла - 207955 байт 
Имя файла - 647.png, Высота - 389, Ширина - 279, Размер файла - 224776 байт 
Имя файла - 648.png, Высота - 276, Ширина - 387, Размер файла - 193937 байт 
Имя файла - 649.png, Высота - 276, Ширина - 387, Размер файла - 204541 байт 
Имя файла - 650.png, Высота - 165, Ширина - 227, Размер файла - 112374 байт 
Имя файла - 651.png, Высота - 161, Ширина - 229, Размер файла - 119623 байт 
Имя файла - 652.png, Высота - 161, Ширина - 230, Размер файла - 112008 байт 
Имя файла - 653.png, Высота - 258, Ширина - 186, Размер файла - 83700 байт 
Имя файла - 654.png, Высота - 258, Ширина - 186, Размер файла - 86961 байт 
Имя файла - 655.png, Высота - 258, Ширина - 186, Размер файла - 89222 байт 
Имя файла - 656.png, Высота - 258, Ширина - 186, Размер файла - 88876 байт 
Имя файла - 657.png, Высота - 361, Ширина - 258, Размер файла - 159376 байт 
Имя файла - 658.png, Высота - 366, Ширина - 259, Размер файла - 164277 байт 
Имя файла - 659.png, Высота - 363, Ширина - 257, Размер файла - 160936 байт 
Имя файла - 660.png, Высота - 366, Ширина - 259, Размер файла - 182523 байт 
Имя файла - 661.png, Высота - 366, Ширина - 259, Размер файла - 171155 байт 
Имя файла - 662.png, Высота - 281, Ширина - 204, Размер файла - 123245 байт 
Имя файла - 663.png, Высота - 281, Ширина - 202, Размер файла - 114107 байт 
Имя файла - 664.png, Высота - 281, Ширина - 203, Размер файла - 125430 байт 
Имя файла - 665.png, Высота - 281, Ширина - 203, Размер файла - 142768 байт 
Имя файла - 666.png, Высота - 364, Ширина - 483, Размер файла - 288304 байт 
