Обработано 100 файлов. Результаты сохранены в result.txt 
  Обработка была произведена 2026-03-18 13:45:04.228087 
Имя файла - 2900.png, Высота - 354, Ширина - 497, Размер файла - 254729 байт 
Имя файла - 2901.png, Высота - 354, Ширина - 497, Размер файла - 267935 байт 
Имя файла - 2902.png, Высота - 437, Ширина - 437, Размер файла - 335236 байт 
Имя файла - 2903.png, Высота - 444, Ширина - 599, Размер файла - 320574 байт 
Имя файла - 2904.png, Высота - 384, Ширина - 767, Размер файла - 516614 байт 
Имя файла - 2905.png, Высота - 355, Ширина - 497, Размер файла - 276563 байт 
Имя файла - 2906.png, Высота - 497, Ширина - 355, Размер файла - 264570 байт 
Имя файла - 2907.png, Высота - 355, Ширина - 497, Размер файла - 238210 байт 
Имя файла - 2908.png, Высота - 355, Ширина - 497, Размер файла - 240189 байт 
Имя файла - 2909.png, Высота - 355, Ширина - 497, Размер файла - 244660 байт 
Имя файла - 2910.png, Высота - 768, Ширина - 385, Размер файла - 658603 байт 
Имя файла - 2911.png, Высота - 592, Ширина - 437, Размер файла - 402671 байт 
Имя файла - 2912.png, Высота - 521, Ширина - 521, Размер файла - 325527 байт 
Имя файла - 2913.png, Высота - 354, Ширина - 497, Размер файла - 294116 байт 
Имя файла - 2914.png, Высота - 505, Ширина - 362, Размер файла - 213750 байт 
Имя файла - 2915.png, Высота - 387, Ширина - 771, Размер файла - 759349 байт 
Имя файла - 2916.png, Высота - 402, Ширина - 491, Размер файла - 279858 байт 
Имя файла - 2917.png, Высота - 591, Ширина - 437, Размер файла - 473606 байт 
Имя файла - 2918.png, Высота - 437, Ширина - 591, Размер файла - 494496 байт 
Имя файла - 2919.png, Высота - 591, Ширина - 437, Размер файла - 476800 байт 
Имя файла - 2920.png, Высота - 591, Ширина - 591, Размер файла - 610281 байт 
Имя файла - 2921.png, Высота - 384, Ширина - 768, Размер файла - 447248 байт 
Имя файла - 2922.png, Высота - 441, Ширина - 443, Размер файла - 219356 байт 
Имя файла - 2923.png, Высота - 437, Ширина - 591, Размер файла - 453694 байт 
Имя файла - 2924.png, Высота - 437, Ширина - 591, Размер файла - 482023 байт 
Имя файла - 2925.png, Высота - 439, Ширина - 591, Размер файла - 471250 байт 
Имя файла - 2926.png, Высота - 439, Ширина - 591, Размер файла - 485108 байт 
Имя файла - 2927.png, Высота - 389, Ширина - 387, Размер файла - 195900 байт 
Имя файла - 2928.png, Высота - 591, Ширина - 437, Размер файла - 439125 байт 
Имя файла - 2929.png, Высота - 591, Ширина - 437, Размер файла - 457082 байт 
Имя файла - 2930.png, Высота - 591, Ширина - 437, Размер файла - 458498 байт 
Имя файла - 2931.png, Высота - 591, Ширина - 437, Размер файла - 416992 байт 
Имя файла - 2932.png, Высота - 356, Ширина - 497, Размер файла - 278897 байт 
Имя файла - 2933.png, Высота - 437, Ширина - 437, Размер файла - 311993 байт 
Имя файла - 2934.png, Высота - 355, Ширина - 496, Размер файла - 366068 байт 
Имя файла - 2935.png, Высота - 354, Ширина - 497, Размер файла - 307323 байт 
Имя файла - 2936.png, Высота - 378, Ширина - 379, Размер файла - 230779 байт 
Имя файла - 2937.png, Высота - 437, Ширина - 437, Размер файла - 328309 байт 
Имя файла - 2938.png, Высота - 437, Ширина - 437, Размер файла - 315625 байт 
Имя файла - 2939.png, Высота - 437, Ширина - 437, Размер файла - 298794 байт 
Имя файла - 2940.png, Высота - 437, Ширина - 437, Размер файла - 270096 байт 
Имя файла - 2941.png, Высота - 437, Ширина - 437, Размер файла - 316477 байт 
Имя файла - 2942.png, Высота - 437, Ширина - 437, Размер файла - 310801 байт 
Имя файла - 2943.png, Высота - 437, Ширина - 437, Размер файла - 288267 байт 
Имя файла - 2944.png, Высота - 437, Ширина - 437, Размер файла - 271667 байт 
Имя файла - 2945.png, Высота - 437, Ширина - 591, Размер файла - 535498 байт 
Имя файла - 2946.png, Высота - 439, Ширина - 438, Размер файла - 383601 байт 
Имя файла - 2947.png, Высота - 751, Ширина - 752, Размер файла - 401604 байт 
Имя файла - 2948.png, Высота - 768, Ширина - 384, Размер файла - 518136 байт 
Имя файла - 2949.png, Высота - 378, Ширина - 379, Размер файла - 248943 байт 
Имя файла - 2950.png, Высота - 619, Ширина - 619, Размер файла - 354824 байт 
Имя файла - 2951.png, Высота - 619, Ширина - 619, Размер файла - 373274 байт 
Имя файла - 2952.png, Высота - 619, Ширина - 619, Размер файла - 357906 байт 
Имя файла - 2953.png, Высота - 619, Ширина - 619, Размер файла - 373360 байт 
Имя файла - 2954.png, Высота - 619, Ширина - 619, Размер файла - 346944 байт 
Имя файла - 2955.png, Высота - 438, Ширина - 437, Размер файла - 293609 байт 
Имя файла - 2956.png, Высота - 436, Ширина - 437, Размер файла - 327423 байт 
Имя файла - 2957.png, Высота - 438, Ширина - 438, Размер файла - 294549 байт 
Имя файла - 2958.png, Высота - 438, Ширина - 437, Размер файла - 276562 байт 
Имя файла - 2959.png, Высота - 437, Ширина - 591, Размер файла - 486221 байт 
Имя файла - 2960.png, Высота - 497, Ширина - 355, Размер файла - 319322 байт 
Имя файла - 2961.png, Высота - 437, Ширина - 437, Размер файла - 354557 байт 
Имя файла - 2962.png, Высота - 440, Ширина - 594, Размер файла - 540761 байт 
Имя файла - 2963.png, Высота - 437, Ширина - 591, Размер файла - 382325 байт 
Имя файла - 2964.png, Высота - 437, Ширина - 591, Размер файла - 349677 байт 
Имя файла - 2965.png, Высота - 363, Ширина - 480, Размер файла - 236620 байт 
Имя файла - 2966.png, Высота - 359, Ширина - 478, Размер файла - 262516 байт 
