Обработано 100 файлов. Результаты сохранены в result.txt 
  Обработка была произведена 2026-02-23 11:36:33.710911 
Имя файла - 1700.png, Высота - 258, Ширина - 350, Размер файла - 143107 байт 
Имя файла - 1701.png, Высота - 223, Ширина - 300, Размер файла - 96476 байт 
Имя файла - 1702.png, Высота - 223, Ширина - 300, Размер файла - 93230 байт 
Имя файла - 1703.png, Высота - 300, Ширина - 300, Размер файла - 133833 байт 
Имя файла - 1704.png, Высота - 300, Ширина - 300, Размер файла - 142129 байт 
Имя файла - 1705.png, Высота - 404, Ширина - 300, Размер файла - 188261 байт 
Имя файла - 1706.png, Высота - 311, Ширина - 225, Размер файла - 108287 байт 
Имя файла - 1707.png, Высота - 311, Ширина - 223, Размер файла - 109714 байт 
Имя файла - 1708.png, Высота - 188, Ширина - 136, Размер файла - 44326 байт 
Имя файла - 1709.png, Высота - 222, Ширина - 300, Размер файла - 111519 байт 
Имя файла - 1710.png, Высота - 302, Ширина - 300, Размер файла - 90189 байт 
Имя файла - 1711.png, Высота - 302, Ширина - 300, Размер файла - 100470 байт 
Имя файла - 1712.png, Высота - 300, Ширина - 300, Размер файла - 94212 байт 
Имя файла - 1713.png, Высота - 206, Ширина - 400, Размер файла - 100755 байт 
Имя файла - 1714.png, Высота - 201, Ширина - 400, Размер файла - 105663 байт 
Имя файла - 1715.png, Высота - 204, Ширина - 400, Размер файла - 105400 байт 
Имя файла - 1716.png, Высота - 204, Ширина - 400, Размер файла - 89319 байт 
Имя файла - 1717.png, Высота - 402, Ширина - 200, Размер файла - 156547 байт 
Имя файла - 1718.png, Высота - 250, Ширина - 186, Размер файла - 104371 байт 
Имя файла - 1719.png, Высота - 210, Ширина - 150, Размер файла - 53911 байт 
Имя файла - 1720.png, Высота - 254, Ширина - 347, Размер файла - 159132 байт 
Имя файла - 1721.png, Высота - 210, Ширина - 296, Размер файла - 125271 байт 
Имя файла - 1722.png, Высота - 213, Ширина - 300, Размер файла - 95813 байт 
Имя файла - 1723.png, Высота - 212, Ширина - 300, Размер файла - 96647 байт 
Имя файла - 1724.png, Высота - 216, Ширина - 300, Размер файла - 99945 байт 
Имя файла - 1725.png, Высота - 211, Ширина - 297, Размер файла - 108839 байт 
Имя файла - 1726.png, Высота - 214, Ширина - 300, Размер файла - 100013 байт 
Имя файла - 1727.png, Высота - 294, Ширина - 296, Размер файла - 166982 байт 
Имя файла - 1728.png, Высота - 213, Ширина - 297, Размер файла - 139305 байт 
Имя файла - 1729.png, Высота - 221, Ширина - 300, Размер файла - 130941 байт 
Имя файла - 1730.png, Высота - 221, Ширина - 300, Размер файла - 116388 байт 
Имя файла - 1731.png, Высота - 104, Ширина - 145, Размер файла - 31680 байт 
Имя файла - 1732.png, Высота - 98, Ширина - 139, Размер файла - 42030 байт 
Имя файла - 1733.png, Высота - 140, Ширина - 98, Размер файла - 41999 байт 
Имя файла - 1734.png, Высота - 98, Ширина - 140, Размер файла - 43578 байт 
Имя файла - 1735.png, Высота - 300, Ширина - 216, Размер файла - 108664 байт 
Имя файла - 1736.png, Высота - 150, Ширина - 204, Размер файла - 50602 байт 
Имя файла - 1737.png, Высота - 221, Ширина - 300, Размер файла - 109569 байт 
Имя файла - 1738.png, Высота - 187, Ширина - 135, Размер файла - 46721 байт 
Имя файла - 1739.png, Высота - 194, Ширина - 138, Размер файла - 66083 байт 
Имя файла - 1740.png, Высота - 222, Ширина - 300, Размер файла - 103356 байт 
Имя файла - 1741.png, Высота - 300, Ширина - 222, Размер файла - 99766 байт 
Имя файла - 1742.png, Высота - 270, Ширина - 200, Размер файла - 87508 байт 
Имя файла - 1743.png, Высота - 300, Ширина - 300, Размер файла - 89830 байт 
Имя файла - 1744.png, Высота - 300, Ширина - 300, Размер файла - 94407 байт 
Имя файла - 1745.png, Высота - 300, Ширина - 300, Размер файла - 98072 байт 
Имя файла - 1746.png, Высота - 350, Ширина - 252, Размер файла - 142104 байт 
Имя файла - 1747.png, Высота - 400, Ширина - 199, Размер файла - 156670 байт 
Имя файла - 1748.png, Высота - 400, Ширина - 203, Размер файла - 153272 байт 
Имя файла - 1749.png, Высота - 400, Ширина - 204, Размер файла - 147183 байт 
Имя файла - 1750.png, Высота - 400, Ширина - 203, Размер файла - 137041 байт 
Имя файла - 1751.png, Высота - 111, Ширина - 111, Размер файла - 50372 байт 
Имя файла - 1752.png, Высота - 110, Ширина - 110, Размер файла - 47593 байт 
Имя файла - 1753.png, Высота - 109, Ширина - 111, Размер файла - 45429 байт 
Имя файла - 1754.png, Высота - 110, Ширина - 112, Размер файла - 47005 байт 
Имя файла - 1755.png, Высота - 110, Ширина - 108, Размер файла - 46145 байт 
Имя файла - 1756.png, Высота - 236, Ширина - 300, Размер файла - 113734 байт 
Имя файла - 1757.png, Высота - 243, Ширина - 300, Размер файла - 105780 байт 
Имя файла - 1758.png, Высота - 240, Ширина - 300, Размер файла - 106912 байт 
Имя файла - 1759.png, Высота - 237, Ширина - 300, Размер файла - 108793 байт 
Имя файла - 1760.png, Высота - 151, Ширина - 300, Размер файла - 83828 байт 
Имя файла - 1761.png, Высота - 151, Ширина - 300, Размер файла - 84185 байт 
Имя файла - 1762.png, Высота - 149, Ширина - 300, Размер файла - 82609 байт 
Имя файла - 1763.png, Высота - 149, Ширина - 300, Размер файла - 83083 байт 
Имя файла - 1764.png, Высота - 150, Ширина - 300, Размер файла - 84925 байт 
Имя файла - 1765.png, Высота - 151, Ширина - 300, Размер файла - 84510 байт 
Имя файла - 1766.png, Высота - 300, Ширина - 300, Размер файла - 144857 байт 
Имя файла - 1767.png, Высота - 294, Ширина - 296, Размер файла - 165823 байт 
Имя файла - 1768.png, Высота - 301, Ширина - 300, Размер файла - 164538 байт 
Имя файла - 1769.png, Высота - 300, Ширина - 300, Размер файла - 155390 байт 
Имя файла - 1770.png, Высота - 173, Ширина - 128, Размер файла - 38505 байт 
Имя файла - 1771.png, Высота - 350, Ширина - 350, Размер файла - 124251 байт 
Имя файла - 1772.png, Высота - 350, Ширина - 350, Размер файла - 116562 байт 
Имя файла - 1773.png, Высота - 100, Ширина - 99, Размер файла - 42158 байт 
Имя файла - 1774.png, Высота - 100, Ширина - 99, Размер файла - 40475 байт 
Имя файла - 1775.png, Высота - 100, Ширина - 100, Размер файла - 39780 байт 
Имя файла - 1776.png, Высота - 98, Ширина - 99, Размер файла - 39477 байт 
Имя файла - 1777.png, Высота - 98, Ширина - 101, Размер файла - 41435 байт 
Имя файла - 1778.png, Высота - 215, Ширина - 300, Размер файла - 110595 байт 
Имя файла - 1779.png, Высота - 393, Ширина - 200, Размер файла - 128400 байт 
Имя файла - 1780.png, Высота - 394, Ширина - 200, Размер файла - 134856 байт 
Имя файла - 1781.png, Высота - 393, Ширина - 200, Размер файла - 127884 байт 
Имя файла - 1782.png, Высота - 302, Ширина - 300, Размер файла - 93830 байт 
